SFV_Am_put FV_Eur_put FV_Am_call FV_Eur_call 
0.1 99.9 95.0239 0 0 
0.2 99.8 94.9249 0 0 
0.3 99.7 94.8259 0 0 
0.4 99.6 94.7269 0 0 
0.5 99.5 94.6279 0 0 
0.6 99.4 94.5289 0 0 
0.7 99.3 94.4299 5.25597e-31 5.25597e-31 
0.8 99.2 94.3309 1.0644e-28 1.0644e-28 
0.9 99.1 94.2319 6.9977e-27 6.9977e-27 
1 99 94.1329 2.56598e-25 2.56598e-25 
1.1 98.9 94.0339 6.2583e-24 6.2583e-24 
1.2 98.8 93.9349 1.09299e-22 1.09299e-22 
1.3 98.7 93.8359 1.38696e-21 1.38696e-21 
1.4 98.6 93.7369 1.18377e-20 1.18377e-20 
1.5 98.5 93.6379 3.47623e-20 3.47623e-20 
1.6 98.4 93.5389 2.76834e-19 2.76834e-19 
1.7 98.3 93.4399 1.41902e-18 1.41902e-18 
1.8 98.2 93.3409 3.7675e-18 3.7675e-18 
1.9 98.1 93.2418 1.83961e-17 1.83961e-17 
2 98 93.1428 3.86885e-17 3.86885e-17 
2.1 97.9 93.0438 1.6317e-16 1.6317e-16 
2.2 97.8 92.9448 3.20899e-16 3.20899e-16 
2.3 97.7 92.8458 1.07905e-15 1.07905e-15 
2.4 97.6 92.7468 2.19099e-15 2.19099e-15 
2.5 97.5 92.6478 4.9747e-15 4.9747e-15 
2.6 97.4 92.5488 1.21334e-14 1.21334e-14 
2.7 97.3 92.4498 1.92921e-14 1.92921e-14 
2.8 97.2 92.3508 5.02395e-14 5.02395e-14 
2.9 97.1 92.2518 9.25742e-14 9.25742e-14 
3 97 92.1528 1.34909e-13 1.34909e-13 
3.1 96.9 92.0538 3.28773e-13 3.28773e-13 
3.2 96.8 91.9548 5.59902e-13 5.59902e-13 
3.3 96.7 91.8558 7.91031e-13 7.91031e-13 
3.4 96.6 91.7568 1.6106e-12 1.6106e-12 
3.5 96.5 91.6578 2.78064e-12 2.78064e-12 
3.6 96.4 91.5588 3.95068e-12 3.95068e-12 
3.7 96.3 91.4598 5.62812e-12 5.62812e-12 
3.8 96.2 91.3608 1.11411e-11 1.11411e-11 
3.9 96.1 91.2617 1.66542e-11 1.66542e-11 
4 96 91.1627 2.21672e-11 2.21672e-11 
4.1 95.9 91.0637 3.21381e-11 3.21381e-11 
4.2 95.8 90.9647 5.6398e-11 5.6398e-11 
4.3 95.7 90.8657 8.06579e-11 8.06579e-11 
4.4 95.6 90.7667 1.04918e-10 1.04918e-10 
